game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_book,under_book,over_no_vig_probability,under_no_vig_probability,line,market_edge,ev_per_unit,signal
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,621566,Matt Olson,confirmed,3.0,4.55,663623,0.06563706563706563,0.10810810810810811,0.08163265306122448,0.2702702702702703,0.3088803088803089,0.2857142857142857,0.09652509652509653,0.35037662694444444,98.942,0.031746031746031744,0.07936507936507936,0.06172839506172839,0.25396825396825395,0.30158730158730157,0.25396825396825395,0.09523809523809523,0.33744519888888885,97.986,L,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,6.0,1.0,1.0,0.04782608695652174,0.07391304347826087,0.13043478260869565,0,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.1846482458816934,442,0.5,270.0,,BetRivers,,,,0.5,,-0.3168014902377344,PASS
824472,2026-09-01 22:40:00+00:00,SD,CIN,CIN,SD,1,682829,Elly De La Cruz,confirmed,2.0,4.65,681190,0.03296703296703297,0.08058608058608059,0.07213114754098361,0.19047619047619047,0.19047619047619047,0.2454212454212454,0.13186813186813187,0.3564311113888889,100.20237288135593,0.014705882352941176,0.08823529411764706,0.07692307692307693,0.20588235294117646,0.1323529411764706,0.3088235294117647,0.10294117647058823,0.35577799333333326,101.14142857142856,L,0.03289473684210526,0.0756578947368421,0.26644736842105265,0.5487528344671202,0.10526315789473684,0.06578947368421052,0.3655454832079972,101.35333333333332,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Great American Ball Park,94.5,35.0,3.8,0.0,0.0,0.8368682901283059,0.17785984680912428,462,0.5,340.0,,BetRivers,,,,0.5,,-0.2174166740398532,PASS
824472,2026-09-01 22:40:00+00:00,SD,CIN,CIN,SD,1,701398,Sal Stewart,confirmed,3.0,4.55,681190,0.06463878326996197,0.08365019011406843,0.06358381502890173,0.21292775665399238,0.2585551330798479,0.22813688212927757,0.060836501901140684,0.31977217250000006,96.75066666666667,0.07462686567164178,0.1044776119402985,0.07526881720430108,0.23880597014925373,0.34328358208955223,0.19402985074626866,0.05970149253731343,0.3793857066666667,96.82466666666666,R,0.03289473684210526,0.0756578947368421,0.26644736842105265,0.5487528344671202,0.10526315789473684,0.06578947368421052,0.3655454832079972,101.35333333333332,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Great American Ball Park,94.5,35.0,3.8,0.0,0.0,0.8368682901283059,0.1515309282488657,560,0.5,360.0,,BetRivers,,,,0.5,,-0.30295773005521776,PASS
824472,2026-09-01 22:40:00+00:00,SD,CIN,CIN,SD,1,699302,Héctor Rodríguez,confirmed,1.0,4.75,681190,0.056338028169014086,0.07042253521126761,0.054945054945054944,0.14084507042253522,0.23943661971830985,0.22535211267605634,0.08450704225352113,0.2778566351851852,95.33277777777776,0.06666666666666667,0.08333333333333333,0.0625,0.15,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.26493794555555555,97.03133333333332,L,0.03289473684210526,0.0756578947368421,0.26644736842105265,0.5487528344671202,0.10526315789473684,0.06578947368421052,0.3655454832079972,101.35333333333332,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Great American Ball Park,94.5,35.0,3.8,0.0,0.0,0.8368682901283059,0.14582113772399044,586,0.5,450.0,,BetRivers,,,,0.5,,-0.19798374251805262,PASS
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,676551,Brewer Hicklen,confirmed,8.0,3.85,663623,0.0,0.047619047619047616,0.045454545454545456,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.36104975,99.196,0.0,0.047619047619047616,0.045454545454545456,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.36104975,99.196,R,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.14136758209574213,607,,,,,,,,0.5,,,PASS
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,660670,Ronald Acuña Jr.,confirmed,2.0,4.65,663623,0.04597701149425287,0.07662835249042145,0.06153846153846154,0.210727969348659,0.23754789272030652,0.25287356321839083,0.12643678160919541,0.3391699327777778,96.87466666666666,0.015384615384615385,0.06153846153846154,0.04878048780487805,0.15384615384615385,0.23076923076923078,0.27692307692307694,0.1076923076923077,0.3031177266666667,95.52066666666666,R,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,8.0,1.0,2.0,0.04583333333333334,0.09166666666666667,0.16666666666666666,1,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.1402353676205631,613,0.5,350.0,,BetRivers,,,,0.5,,-0.36894084570746605,PASS
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,663586,Austin Riley,confirmed,7.0,4.0,663623,0.029914529914529916,0.0811965811965812,0.06506849315068493,0.21367521367521367,0.23076923076923078,0.3504273504273504,0.07264957264957266,0.29968867027777785,96.902,0.0,0.03508771929824561,0.02631578947368421,0.24561403508771928,0.2982456140350877,0.3684210526315789,0.08771929824561403,0.2572061333333333,96.65266666666666,R,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,4.0,0.0,0.0,0.02727272727272727,0.05454545454545454,0.09090909090909091,1,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.13888917859978744,620,0.5,400.0,,BetRivers,,,,0.5,,-0.3055541070010628,PASS
824472,2026-09-01 22:40:00+00:00,SD,CIN,CIN,SD,1,668709,JJ Bleday,confirmed,4.0,4.45,681190,0.03162055335968379,0.04743083003952569,0.0375,0.1976284584980237,0.2134387351778656,0.233201581027668,0.13438735177865613,0.31840513805555554,95.97866666666668,0.015625,0.046875,0.034482758620689655,0.1875,0.203125,0.21875,0.125,0.30677577111111115,96.57666666666664,L,0.03289473684210526,0.0756578947368421,0.26644736842105265,0.5487528344671202,0.10526315789473684,0.06578947368421052,0.3655454832079972,101.35333333333332,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Great American Ball Park,94.5,35.0,3.8,0.0,0.0,0.8368682901283059,0.1346570512980668,643,0.5,380.0,,BetRivers,,,,0.5,,-0.35364615376927944,PASS
824716,2026-09-01 22:45:00+00:00,SEA,BOS,BOS,SEA,1,681508,Mickey Gasper,confirmed,2.0,4.65,693433,0.04,0.07333333333333333,0.0625,0.23333333333333334,0.22,0.12,0.12666666666666668,0.3823966018018018,97.68277777777777,0.10526315789473684,0.12280701754385964,0.11666666666666667,0.21052631578947367,0.21052631578947367,0.03508771929824561,0.21052631578947367,0.5094747988888889,96.94142857142856,L,0.03151862464183381,0.04871060171919771,0.22063037249283668,0.5264227642276422,0.2492836676217765,0.05157593123209169,0.3089741312752838,101.028,16.533333333333335,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Fenway Park,66.5,89.0,0.7,0.0,0.0,0.9872857932559426,0.13435953109190682,644,0.5,600.0,,BetRivers,,,,0.5,,-0.059483282356652234,PASS
824716,2026-09-01 22:45:00+00:00,SEA,BOS,BOS,SEA,1,677800,Wilyer Abreu,confirmed,4.0,4.45,693433,0.04887218045112782,0.08646616541353383,0.06764705882352941,0.19172932330827067,0.3157894736842105,0.22180451127819548,0.12030075187969924,0.36735846404761907,97.10549999999999,0.014492753623188406,0.028985507246376812,0.02247191011235955,0.14492753623188406,0.3188405797101449,0.2318840579710145,0.11594202898550725,0.29336605,95.92999999999999,L,0.03151862464183381,0.04871060171919771,0.22063037249283668,0.5264227642276422,0.2492836676217765,0.05157593123209169,0.3089741312752838,101.028,16.533333333333335,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Fenway Park,66.5,89.0,0.7,0.0,0.0,0.9872857932559426,0.1337354690441638,648,0.5,440.0,,BetRivers,,,,0.5,,-0.27782846716151544,PASS
