game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,line,market_edge,ev_per_unit,signal
824475,2026-08-18 22:40:00+00:00,STL,CIN,STL,CIN,0,695491,Joshua Báez,confirmed,5.0,4.3,671096,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.3157894736842105,0.0,0.4575349,104.5,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.3157894736842105,0.0,0.4575349,104.5,R,0.031161473087818695,0.056657223796033995,0.1671388101983003,0.5957894736842105,0.18980169971671387,0.11614730878186968,0.32698629300316373,101.20533333333334,16.133333333333333,L,0.0,0.0,0.0,0.03,0.06,0.0,0,Great American Ball Park,81.8,44.0,5.7,0.0,0.0,0.9783513738551208,0.26860728596332906,272,,,,,,,,0.5,,,HR WATCH
822859,2026-08-19 00:05:00+00:00,WSH,TEX,WSH,TEX,0,694673,Abimelec Ortiz,confirmed,2.0,4.65,615698,0.11428571428571428,0.14285714285714285,0.09259259259259259,0.5142857142857142,0.37142857142857144,0.2571428571428571,0.02857142857142857,0.44010470370370375,101.41555555555556,0.11428571428571428,0.14285714285714285,0.09259259259259259,0.5142857142857142,0.37142857142857144,0.2571428571428571,0.02857142857142857,0.44010470370370375,101.41555555555556,L,0.038461538461538464,0.05128205128205128,0.10256410256410256,0.5194174757281553,0.1858974358974359,0.057692307692307696,0.2970610675584713,99.3175,14.0,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Globe Life Field,102.7,23.0,11.0,0.0,0.5,1.1503571585082608,0.2552095618718975,292,,,,,,,,0.5,,,HR WATCH
824639,2026-08-19 00:05:00+00:00,CWS,CHC,CWS,CHC,0,808959,Munetaka Murakami,confirmed,2.0,4.65,592332,0.06367041198501873,0.09737827715355805,0.10526315789473684,0.2397003745318352,0.16853932584269662,0.3295880149812734,0.17228464419475656,0.3467552689285715,98.38966666666666,0.07246376811594203,0.13043478260869565,0.15517241379310345,0.2753623188405797,0.17391304347826086,0.34782608695652173,0.14492753623188406,0.36147345571428574,102.16533333333335,L,0.030726256983240222,0.04189944134078212,0.21787709497206703,0.538135593220339,0.23743016759776536,0.08100558659217877,0.31722840180617856,101.1613333333333,16.133333333333333,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Wrigley Field,74.1,78.0,7.3,0.0,0.0,1.337121026595484,0.23621579496839826,323,,,,,,,,0.5,,,HR WATCH
824154,2026-08-19 00:10:00+00:00,LAA,HOU,LAA,HOU,0,687263,Zach Neto,confirmed,4.0,4.45,664299,0.03773584905660377,0.07169811320754717,0.05828220858895705,0.22641509433962265,0.19622641509433963,0.3320754716981132,0.06792452830188679,0.2686770483333333,96.45983333333335,0.015625,0.03125,0.02702702702702703,0.21875,0.171875,0.34375,0.046875,0.1921819333333333,96.71266666666665,R,0.044642857142857144,0.07142857142857142,0.22321428571428573,0.668918918918919,0.10714285714285714,0.11607142857142858,0.40179836160714283,102.85666666666667,11.666666666666666,R,5.0,0.0,1.0,0.026666666666666665,0.07555555555555556,0.1111111111111111,1,Daikin Park,87.0,61.0,9.5,0.0,0.5,1.0491257285595337,0.19653510427696017,409,,,,,,,,0.5,,,HR WATCH
823423,2026-08-18 22:40:00+00:00,MIA,PHI,PHI,MIA,1,656941,Kyle Schwarber,confirmed,1.0,4.75,806188,0.05166051660516605,0.05904059040590406,0.05536332179930796,0.23616236162361623,0.18081180811808117,0.33948339483394835,0.15498154981549817,0.3466738055555556,99.01149999999998,0.05714285714285714,0.08571428571428572,0.07894736842105263,0.21428571428571427,0.17142857142857143,0.3,0.17142857142857143,0.35662946555555564,97.88333333333335,L,,,,,,,,,,,2.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.047619047619047616,0,Citizens Bank Park,78.5,86.0,3.0,0.0,0.0,1.079982367634814,0.18337096031802852,445,,,,,,,,0.5,,,HR WATCH
824639,2026-08-19 00:05:00+00:00,CWS,CHC,CWS,CHC,0,678246,Miguel Vargas,confirmed,3.0,4.55,592332,0.04814814814814815,0.1,0.07758620689655173,0.2518518518518518,0.27037037037037037,0.1925925925925926,0.10740740740740741,0.3651391792460317,98.1295,0.08571428571428572,0.1,0.07865168539325842,0.24285714285714285,0.3,0.22857142857142856,0.14285714285714285,0.35425969809523816,96.80199999999999,R,0.030726256983240222,0.04189944134078212,0.21787709497206703,0.538135593220339,0.23743016759776536,0.08100558659217877,0.31722840180617856,101.1613333333333,16.133333333333333,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Wrigley Field,74.1,78.0,7.3,0.0,0.0,1.337121026595484,0.1815498932664366,451,,,,,,,,0.5,,,HR WATCH
823341,2026-08-18 22:40:00+00:00,DET,PIT,DET,PIT,0,680664,Eduardo Valencia,confirmed,4.0,4.45,677952,0.11363636363636363,0.13636363636363635,0.1016949152542373,0.3181818181818182,0.38636363636363635,0.2727272727272727,0.022727272727272728,0.32331072727272725,98.90454545454544,0.11363636363636363,0.13636363636363635,0.1016949152542373,0.3181818181818182,0.38636363636363635,0.2727272727272727,0.022727272727272728,0.32331072727272725,98.90454545454544,R,0.042134831460674156,0.047752808988764044,0.16853932584269662,0.4444444444444444,0.27808988764044945,0.05337078651685393,0.2965301533866891,100.89133333333334,17.133333333333333,R,0.0,0.0,0.0,0.03,0.06,0.0,1,PNC Park,77.7,50.0,5.4,0.0,0.0,0.8512642972961129,0.1754113070013367,470,,,,,,,,0.5,,,HR WATCH
824803,2026-08-18 22:35:00+00:00,NYY,BAL,NYY,BAL,0,700250,Ben Rice,confirmed,2.0,4.65,669358,0.06037735849056604,0.0830188679245283,0.06666666666666667,0.2188679245283019,0.25660377358490566,0.2679245283018868,0.11320754716981132,0.3400124252777778,98.78366666666668,0.03076923076923077,0.06153846153846154,0.046511627906976744,0.3076923076923077,0.26153846153846155,0.2923076923076923,0.15384615384615385,0.30727311999999996,98.0273333333333,L,0.01078167115902965,0.03504043126684636,0.21024258760107817,0.5098039215686274,0.215633423180593,0.0673854447439353,0.2976566188570924,100.64066666666666,17.466666666666665,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Oriole Park at Camden Yards,84.6,55.0,6.5,0.0,0.0,1.1365528726061616,0.17540611737988396,470,,,,,,,,0.5,,,HR WATCH
823586,2026-08-18 23:10:00+00:00,SD,NYM,SD,NYM,0,665487,Fernando Tatis Jr.,confirmed,1.0,4.75,804267,0.04316546762589928,0.09712230215827339,0.08626198083067092,0.23741007194244604,0.15827338129496402,0.15827338129496402,0.09712230215827339,0.3792910641666666,101.42166666666667,0.07462686567164178,0.14925373134328357,0.13157894736842105,0.23880597014925373,0.26865671641791045,0.1044776119402985,0.13432835820895522,0.4227144866666667,100.61999999999999,R,0.022598870056497175,0.06779661016949153,0.22033898305084745,0.464,0.1638418079096045,0.07344632768361582,0.33738287453136917,102.67750000000001,16.625,L,0.0,0.0,0.0,0.03,0.06,0.0,0,Citi Field,79.0,70.0,6.8,0.0,0.0,0.917985012489592,0.1692479311891473,491,,,,,,,,0.5,,,HR WATCH
824398,2026-08-18 22:40:00+00:00,SF,CLE,SF,CLE,0,646240,Rafael Devers,confirmed,2.0,4.65,656492,0.07086614173228346,0.07874015748031496,0.06172839506172839,0.2559055118110236,0.2874015748031496,0.2125984251968504,0.1377952755905512,0.36524365472222226,100.039,0.04918032786885246,0.04918032786885246,0.03896103896103896,0.19672131147540983,0.2786885245901639,0.18032786885245902,0.13114754098360656,0.29827876555555555,100.13933333333334,L,0.039660056657223795,0.05099150141643059,0.1813031161473088,0.5100401606425703,0.21529745042492918,0.042492917847025496,0.30578710329460734,101.09600000000002,17.4,L,3.0,0.0,0.0,0.027906976744186046,0.05581395348837209,0.06976744186046512,1,Progressive Field,77.3,48.0,6.1,0.0,0.0,1.1201602830974189,0.16921573748085436,491,,,,,,,,0.5,,,HR WATCH
