game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,player_type,lineup_status,batting_order,pitcher_k_per_start,pitcher_outs_per_start,pitcher_hits_allowed_per_start,pitcher_pitches_per_start,pitcher_bf_per_start,pitcher_k_rate,pitcher_whiff_rate,pitcher_called_strike_rate,pitcher_xwoba_allowed,pitcher_hits_allowed_rate,pitcher_walk_rate,pitcher_velocity,opponent_k_rate,opponent_hits_per_game,opponent_tb_per_game,opponent_pa_per_game,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,venue_roof_control_factor,park_hr_factor,market_key,market_label,projection,point,line,over_probability,under_probability,over_fair_odds,under_fair_odds,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,over_edge,under_edge,over_ev_per_unit,under_ev_per_unit,signal,confidence,batter_hits_per_game,batter_tb_per_game,batter_hr_per_game,batter_pa_per_game,batter_hit_rate,batter_tb_rate,batter_hr_rate,batter_k_rate,batter_bb_rate,batter_xwoba,batter_hard_hit_rate,batter_barrel_rate,opposing_pitcher_k_rate,opposing_pitcher_xwoba_allowed,opposing_pitcher_hits_allowed_rate,opposing_pitcher_outs_per_start,best_ev_per_unit,actual_batter_hits,actual_batter_total_bases,actual_batter_home_runs,actual_pitcher_strikeouts,actual_pitcher_outs,actual_pitcher_hits_allowed,actual,graded,projection_error,pick_side,pick_result,profit_units
824548,2026-09-17 23:40:00+00:00,DET,CWS,CWS,DET,1,682668,Luisangel Acuña,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Rate Field,68.8,98.0,8.4,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.119886944424162,,1.5,0.3076923076923077,0.6923076923076923,225,-225,,,,,,,,,,,UNDER LEAN,0.3846153846153846,0.5333333333333333,0.6,0.0,3.066666666666667,0.1722222222222222,0.1888888888888888,0.0,0.1722222222222222,0.05,0.2197690055555556,0.2244444444444444,0.0,0.158967776795363,0.3164092456068048,0.2450096276648001,17.066666666666666,,0.0,0.0,0.0,,,,0.0,True,1.119886944424162,UNDER,WIN,
824548,2026-09-17 23:40:00+00:00,DET,CWS,DET,CWS,0,595879,Javier Báez,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Rate Field,68.8,98.0,8.4,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1285747405336828,,1.5,0.3081918081918082,0.6918081918081918,224,-224,,,,,,,,,,,UNDER LEAN,0.3836163836163836,0.3333333333333333,0.6666666666666666,0.0,3.333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.1966666666666666,0.0166666666666666,0.2147122566666666,0.2974603174603175,0.0222222222222222,0.1729698881627616,0.3277061094213857,0.2127559520498389,14.285714285714286,,0.0,0.0,0.0,,,,0.0,True,1.1285747405336828,UNDER,WIN,
824548,2026-09-17 23:40:00+00:00,DET,CWS,CWS,DET,1,695731,Braden Montgomery,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Rate Field,68.8,98.0,8.4,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1227050296004404,,1.5,0.3081918081918082,0.6918081918081918,224,-224,,,,,,,,,,,UNDER LEAN,0.3836163836163836,0.4,0.6666666666666666,0.0666666666666666,3.933333333333333,0.1077777777777777,0.1911111111111111,0.0222222222222222,0.13,0.1455555555555555,0.3723988388888888,0.2326719576719576,0.0261904761904761,0.158967776795363,0.3164092456068048,0.2450096276648001,17.066666666666666,,0.0,0.0,0.0,,,,0.0,True,1.1227050296004404,UNDER,WIN,
822845,2026-09-18 00:05:00+00:00,BOS,TEX,TEX,BOS,1,694497,Evan Carter,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Globe Life Field,96.4,32.0,6.9,0.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.1222925101879313,,1.5,0.3081918081918082,0.6918081918081918,224,-224,,,,,,,,,,,UNDER LEAN,0.3836163836163836,0.6666666666666666,1.0,0.0666666666666666,3.6666666666666665,0.19,0.2699999999999999,0.0166666666666666,0.3011111111111111,0.0633333333333333,0.2534579733333333,0.1753439153439153,0.0222222222222222,0.2338391908681764,0.2927447970273039,0.2156324636179708,18.6,,0.0,0.0,0.0,,,,0.0,True,1.1222925101879313,UNDER,WIN,
822845,2026-09-18 00:05:00+00:00,BOS,TEX,BOS,TEX,0,686765,Nick Sogard,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Globe Life Field,96.4,32.0,6.9,0.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.139757612311787,,1.5,0.3101898101898102,0.6898101898101898,222,-222,,,,,,,,,,,UNDER LEAN,0.3796203796203796,1.0,1.6666666666666667,0.1333333333333333,4.066666666666666,0.2433333333333333,0.4044444444444444,0.0333333333333333,0.25,0.0633333333333333,0.2975742077777777,0.2706349206349206,0.0355555555555555,0.306547619047619,0.2255503541666667,0.0982142857142857,3.75,,0.0,0.0,0.0,,,,0.0,True,1.139757612311787,UNDER,WIN,
823573,2026-09-17 23:15:00+00:00,PHI,NYM,PHI,NYM,0,702222,Justin Crawford,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Citi Field,75.8,79.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1416532018348362,,1.5,0.3111888111888112,0.6888111888111887,221,-221,,,,,,,,,,,UNDER LEAN,0.3776223776223776,0.6666666666666666,1.0,0.0666666666666666,3.4,0.1944444444444444,0.3111111111111111,0.0222222222222222,0.1166666666666666,0.0833333333333333,0.3276995055555555,0.3311111111111111,0.0317460317460317,0.2543151539818206,0.3004016912048569,0.1923083706417039,17.6,,1.0,1.0,0.0,,,,1.0,True,0.1416532018348362,UNDER,WIN,
823978,2026-09-18 01:38:00+00:00,MIN,LAA,LAA,MIN,1,666139,Josh Lowe,batter,confirmed,6.0,,,,,,,,,,,,,,,,,Angel Stadium,71.7,64.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1450600451042594,,1.5,0.3136863136863136,0.6863136863136863,219,-219,,,,,,,,,,,UNDER LEAN,0.3726273726273726,0.5333333333333333,1.0,0.1333333333333333,3.533333333333333,0.1433333333333333,0.2766666666666666,0.0388888888888888,0.3233333333333333,0.1377777777777777,0.3008017722222221,0.1462962962962963,0.05,0.2951455955523921,0.2936830898522162,0.175233674889347,17.733333333333334,,1.0,2.0,0.0,,,,2.0,True,0.8549399548957406,UNDER,LOSS,
824548,2026-09-17 23:40:00+00:00,DET,CWS,CWS,DET,1,668670,Jake Rogers,batter,confirmed,7.0,,,,,,,,,,,,,,,,,Rate Field,68.8,98.0,8.4,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1520287278792294,,1.5,0.3146853146853147,0.6853146853146853,218,-218,,,,,,,,,,,UNDER LEAN,0.3706293706293706,0.4666666666666667,0.8,0.0666666666666666,3.2666666666666666,0.1277777777777777,0.2111111111111111,0.0166666666666666,0.3333333333333333,0.15,0.2586425666666667,0.1513227513227513,0.0412698412698412,0.158967776795363,0.3164092456068048,0.2450096276648001,17.066666666666666,,0.0,0.0,0.0,,,,0.0,True,1.1520287278792294,UNDER,WIN,
823573,2026-09-17 23:15:00+00:00,PHI,NYM,PHI,NYM,0,669016,Brandon Marsh,batter,confirmed,7.0,,,,,,,,,,,,,,,,,Citi Field,75.8,79.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1538211914145846,,1.5,0.3161838161838162,0.6838161838161838,216,-216,,,,,,,,,,,UNDER LEAN,0.3676323676323676,0.4,0.4666666666666667,0.0,3.2666666666666666,0.1277777777777777,0.15,0.0,0.2055555555555555,0.05,0.2135082666666667,0.1516666666666666,0.0166666666666666,0.2543151539818206,0.3004016912048569,0.1923083706417039,17.6,,1.0,1.0,0.0,,,,1.0,True,0.1538211914145846,UNDER,WIN,
824141,2026-09-17 23:15:00+00:00,KC,HOU,KC,HOU,0,664728,Kyle Isbel,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Daikin Park,80.6,94.0,4.0,2.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.1583616343404857,,1.5,0.3176823176823177,0.6823176823176823,215,-215,,,,,,,,,,,UNDER LEAN,0.3646353646353646,0.4666666666666667,0.5333333333333333,0.0,3.533333333333333,0.1277777777777777,0.1444444444444444,0.0,0.2166666666666666,0.05,0.2150002444444444,0.1788888888888889,0.0,,,,,,0.0,0.0,0.0,,,,0.0,True,1.1583616343404857,UNDER,WIN,
