game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,line,market_edge,ev_per_unit,signal
822701,2026-08-08 22:45:00+00:00,CIN,WSH,WSH,CIN,1,694673,Abimelec Ortiz,confirmed,2.0,4.65,695505,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.46209808333333335,99.55000000000001,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.46209808333333335,99.55000000000001,L,0.023529411764705882,0.047058823529411764,0.17352941176470588,0.5831381733021077,0.28823529411764703,0.09117647058823529,0.2733974467963277,99.76333333333335,16.466666666666665,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Nationals Park,92.0,45.0,9.8,0.0,0.0,1.404236276849642,0.2607052251025771,284,,,,,,,,0.5,,,HR WATCH
825049,2026-08-09 00:10:00+00:00,LAD,ARI,LAD,ARI,0,660271,Shohei Ohtani,confirmed,1.0,4.75,694297,0.06593406593406594,0.10256410256410256,0.09333333333333334,0.2454212454212454,0.2490842490842491,0.22344322344322345,0.1282051282051282,0.41145149777777773,100.60999999999999,0.058823529411764705,0.08823529411764706,0.0821917808219178,0.19117647058823528,0.3235294117647059,0.22058823529411764,0.1323529411764706,0.38884545333333337,100.36466666666666,L,0.01702127659574468,0.05531914893617021,0.2,0.45987654320987653,0.13617021276595745,0.04680851063829787,0.2725257898585819,100.18,17.2,R,4.0,0.0,0.0,0.02727272727272727,0.05454545454545454,0.09090909090909091,0,Chase Field,111.1,15.0,4.8,0.0,0.5,1.0,0.21933552438109707,356,,,,,,,,0.5,,,HR WATCH
823426,2026-08-08 22:05:00+00:00,TOR,PHI,PHI,TOR,1,656941,Kyle Schwarber,confirmed,1.0,4.75,453286,0.04868913857677903,0.04868913857677903,0.04391891891891892,0.24719101123595505,0.18352059925093633,0.352059925093633,0.149812734082397,0.33994539666666673,99.43866666666669,0.0,0.0,0.0,0.15151515151515152,0.12121212121212122,0.3787878787878788,0.15151515151515152,0.28429677333333336,95.62133333333334,L,0.06428571428571428,0.07857142857142857,0.24285714285714285,0.6085106382978723,0.16428571428571428,0.10714285714285714,0.37614173114089267,99.60499999999999,11.375,R,2.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.047619047619047616,0,Citizens Bank Park,80.4,80.0,5.9,0.0,0.0,1.132635021656501,0.21521394763950766,365,,,,,,,,0.5,,,HR WATCH
824565,2026-08-08 23:15:00+00:00,CLE,CWS,CWS,CLE,1,808959,Munetaka Murakami,confirmed,2.0,4.65,668909,0.07407407407407407,0.0962962962962963,0.10038610038610038,0.25555555555555554,0.1814814814814815,0.337037037037037,0.15925925925925927,0.350207014484127,98.5665,0.07246376811594203,0.11594202898550725,0.12307692307692308,0.2753623188405797,0.21739130434782608,0.37681159420289856,0.11594202898550725,0.3339368857142857,99.38266666666667,L,0.03672316384180791,0.059322033898305086,0.1864406779661017,0.48337028824833705,0.3333333333333333,0.05084745762711865,0.29051534153989955,100.61866666666667,17.666666666666668,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Rate Field,74.6,81.0,5.8,0.0,0.0,0.7281225139220366,0.21283484843065809,370,,,,,,,,0.5,,,HR WATCH
824079,2026-08-08 23:10:00+00:00,CHC,KC,CHC,KC,0,691718,Pete Crow-Armstrong,confirmed,1.0,4.75,607625,0.0711743772241993,0.08540925266903915,0.06629834254143646,0.28113879003558717,0.302491103202847,0.2704626334519573,0.1423487544483986,0.39186409833333335,97.28733333333334,0.07042253521126761,0.1267605633802817,0.08823529411764706,0.38028169014084506,0.323943661971831,0.29577464788732394,0.14084507042253522,0.4017499166666667,98.31133333333334,L,0.03977272727272727,0.06818181818181818,0.21306818181818182,0.48764044943820223,0.16193181818181818,0.07954545454545454,0.36359540742728147,101.74199999999999,15.933333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Kauffman Stadium,89.5,53.0,8.4,0.0,0.0,1.014170644391408,0.1982254749377769,404,,,,,,,,0.5,,,HR WATCH
822701,2026-08-08 22:45:00+00:00,CIN,WSH,CIN,WSH,0,682829,Elly De La Cruz,confirmed,1.0,4.75,674841,0.03676470588235294,0.08823529411764706,0.08108108108108109,0.19117647058823528,0.2426470588235294,0.25735294117647056,0.11397058823529412,0.37056018444444444,100.31333333333333,0.043478260869565216,0.07246376811594203,0.06756756756756757,0.21739130434782608,0.17391304347826086,0.2463768115942029,0.17391304347826086,0.3811643599999999,99.43866666666665,L,0.006024096385542169,0.018072289156626505,0.12650602409638553,0.3229166666666667,0.21084337349397592,0.12650602409638553,0.3228578120866402,100.92875000000001,13.5,L,0.0,0.0,0.0,0.03,0.06,0.0,1,Nationals Park,92.0,45.0,9.8,0.0,0.0,1.404236276849642,0.1922891619471707,420,,,,,,,,0.5,,,HR WATCH
822701,2026-08-08 22:45:00+00:00,CIN,WSH,WSH,CIN,1,682928,CJ Abrams,confirmed,1.0,4.75,695505,0.06513409961685823,0.06896551724137931,0.0547112462006079,0.2413793103448276,0.23371647509578544,0.25287356321839083,0.06896551724137931,0.31372815722222225,97.11883333333334,0.06060606060606061,0.06060606060606061,0.05555555555555555,0.18181818181818182,0.15151515151515152,0.30303030303030304,0.09090909090909091,0.3014598877777778,95.76599999999998,L,0.023529411764705882,0.047058823529411764,0.17352941176470588,0.5831381733021077,0.28823529411764703,0.09117647058823529,0.2733974467963277,99.76333333333335,16.466666666666665,R,3.0,0.0,0.0,0.027906976744186046,0.05581395348837209,0.06976744186046512,0,Nationals Park,92.0,45.0,9.8,0.0,0.0,1.404236276849642,0.19033012055989726,425,,,,,,,,0.5,,,HR WATCH
822864,2026-08-08 23:15:00+00:00,BAL,TEX,TEX,BAL,1,592626,Joc Pederson,confirmed,1.0,4.75,680694,0.08050847457627118,0.09322033898305085,0.07457627118644068,0.24152542372881355,0.25,0.2245762711864407,0.11440677966101695,0.38434696888888886,97.48566666666667,0.10526315789473684,0.08771929824561403,0.06666666666666667,0.3157894736842105,0.2631578947368421,0.24561403508771928,0.05263157894736842,0.34957782222222217,99.04066666666668,L,0.02247191011235955,0.042134831460674156,0.15168539325842698,0.4684466019417476,0.2303370786516854,0.09269662921348315,0.2970897253319557,101.218,17.0,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Globe Life Field,100.6,26.0,10.2,0.0,0.5,1.0817820206841686,0.18868544734436948,430,,,,,,,,0.5,,,HR WATCH
823267,2026-08-08 23:15:00+00:00,HOU,SD,SD,HOU,1,665487,Fernando Tatis Jr.,confirmed,1.0,4.75,663567,0.036101083032490974,0.09025270758122744,0.08143322475570032,0.22382671480144403,0.15162454873646208,0.17328519855595667,0.07942238267148015,0.3598972858333333,101.96216666666665,0.02857142857142857,0.07142857142857142,0.0684931506849315,0.22857142857142856,0.21428571428571427,0.15714285714285714,0.12857142857142856,0.35620052333333335,101.07,R,0.03089887640449438,0.0449438202247191,0.17696629213483145,0.5731958762886598,0.23876404494382023,0.08426966292134831,0.28178802972240585,101.02866666666668,17.2,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Petco Park,82.4,57.0,9.2,0.0,0.0,0.8321400159108989,0.18169011785662192,450,,,,,,,,0.5,,,HR WATCH
823267,2026-08-08 23:15:00+00:00,HOU,SD,HOU,SD,0,670541,Yordan Alvarez,confirmed,2.0,4.65,650633,0.06296296296296296,0.11481481481481481,0.09253731343283582,0.26666666666666666,0.26666666666666666,0.17407407407407408,0.17407407407407408,0.44648352249999995,100.84149999999998,0.028169014084507043,0.056338028169014086,0.056338028169014086,0.22535211267605634,0.15492957746478872,0.16901408450704225,0.22535211267605634,0.40841739,101.95866666666669,L,0.027855153203342618,0.052924791086350974,0.16434540389972144,0.5314533622559653,0.19220055710306408,0.0947075208913649,0.33896925420210383,99.72000000000001,16.666666666666668,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Petco Park,82.4,57.0,9.2,0.0,0.0,0.8321400159108989,0.18124659475462393,452,,,,,,,,0.5,,,HR WATCH
