game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,park_hr_factor,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,line,market_edge,ev_per_unit,signal
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,660271,Shohei Ohtani,confirmed,1.0,4.75,687562,0.06181818181818182,0.10909090909090909,0.09966777408637874,0.26545454545454544,0.22181818181818183,0.21818181818181817,0.13090909090909092,0.42783944388888884,101.38266666666667,0.04477611940298507,0.11940298507462686,0.11428571428571428,0.2835820895522388,0.2537313432835821,0.208955223880597,0.07462686567164178,0.3953177777777777,103.034,L,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.20396693576007482,390,,,,,,,,0.5,,,HR WATCH
823919,2026-08-02 23:20:00+00:00,BOS,LAD,BOS,LAD,0,677800,Wilyer Abreu,confirmed,3.0,4.55,686218,0.03802281368821293,0.08745247148288973,0.06353591160220995,0.19391634980988592,0.3231939163498099,0.22813688212927757,0.09125475285171103,0.32069092499999996,96.4165,0.046875,0.046875,0.037037037037037035,0.171875,0.25,0.28125,0.078125,0.2796544733333333,96.262,L,0.041935483870967745,0.06451612903225806,0.2064516129032258,0.5916473317865429,0.27741935483870966,0.06774193548387097,0.2942020479399817,100.59533333333336,14.333333333333334,R,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.1574065178542108,535,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,BOS,LAD,0,575929,Willson Contreras,confirmed,4.0,4.45,686218,0.06097560975609756,0.08130081300813008,0.0664451827242525,0.23983739837398374,0.21138211382113822,0.23170731707317074,0.10569105691056911,0.39516859500000007,99.39728813559323,0.05263157894736842,0.08771929824561403,0.08620689655172414,0.21052631578947367,0.17543859649122806,0.2631578947368421,0.19298245614035087,0.4580115333333333,97.26857142857143,R,0.041935483870967745,0.06451612903225806,0.2064516129032258,0.5916473317865429,0.27741935483870966,0.06774193548387097,0.2942020479399817,100.59533333333336,14.333333333333334,R,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.15516630981389917,544,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,BOS,LAD,0,678882,Ceddanne Rafaela,confirmed,2.0,4.65,686218,0.03745318352059925,0.033707865168539325,0.02132701421800948,0.16853932584269662,0.3445692883895131,0.18726591760299627,0.0299625468164794,0.27203658333333336,94.5765,0.09375,0.078125,0.04716981132075472,0.171875,0.4375,0.21875,0.0,0.2770033333333333,95.48866666666669,R,0.041935483870967745,0.06451612903225806,0.2064516129032258,0.5916473317865429,0.27741935483870966,0.06774193548387097,0.2942020479399817,100.59533333333336,14.333333333333334,R,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.13078772146467643,665,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,681624,Andy Pages,confirmed,2.0,4.65,687562,0.028985507246376812,0.05434782608695652,0.04155124653739612,0.18840579710144928,0.3079710144927536,0.19927536231884058,0.09420289855072464,0.32522825472222217,95.65933333333332,0.014925373134328358,0.014925373134328358,0.010526315789473684,0.19402985074626866,0.34328358208955223,0.23880597014925373,0.1044776119402985,0.31112686,94.23400000000001,R,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.12627061499536468,692,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,518692,Freddie Freeman,confirmed,4.0,4.45,687562,0.03474903474903475,0.05405405405405406,0.03414634146341464,0.2277992277992278,0.3359073359073359,0.16602316602316602,0.10424710424710425,0.38565210694444446,97.36333333333336,0.0,0.015873015873015872,0.01020408163265306,0.20634920634920634,0.15873015873015872,0.1746031746031746,0.047619047619047616,0.3749781933333333,97.24666666666666,L,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11880988728906715,742,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,605141,Mookie Betts,confirmed,5.0,4.3,687562,0.03488372093023256,0.06201550387596899,0.047619047619047616,0.2054263565891473,0.26744186046511625,0.12403100775193798,0.07364341085271318,0.3140549038888889,96.54766666666664,0.03278688524590164,0.04918032786885246,0.04054054054054054,0.18032786885245902,0.2459016393442623,0.16393442622950818,0.06557377049180328,0.2689505433333333,94.96066666666667,R,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11644330851025354,759,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,BOS,LAD,0,655316,Andruw Monasterio,confirmed,7.0,4.0,686218,0.03225806451612903,0.06451612903225806,0.045454545454545456,0.1935483870967742,0.34408602150537637,0.20967741935483872,0.08064516129032258,0.3125815065972222,94.09145833333332,0.03389830508474576,0.06779661016949153,0.05333333333333334,0.2711864406779661,0.4067796610169492,0.1694915254237288,0.11864406779661017,0.36375977000000004,96.95533333333334,R,0.041935483870967745,0.06451612903225806,0.2064516129032258,0.5916473317865429,0.27741935483870966,0.06774193548387097,0.2942020479399817,100.59533333333336,14.333333333333334,R,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11511015694934426,769,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,606192,Teoscar Hernández,confirmed,7.0,4.0,687562,0.028925619834710745,0.05785123966942149,0.04827586206896552,0.17355371900826447,0.21487603305785125,0.256198347107438,0.09090909090909091,0.3191575308333334,95.76816666666669,0.034482758620689655,0.05172413793103448,0.04054054054054054,0.1206896551724138,0.25862068965517243,0.25862068965517243,0.06896551724137931,0.29237481111111113,93.49733333333332,R,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11252038941997508,789,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,BOS,LAD,0,680776,Jarren Duran,confirmed,8.0,3.85,686218,0.03435114503816794,0.0648854961832061,0.05723905723905724,0.14122137404580154,0.22519083969465647,0.29770992366412213,0.0648854961832061,0.2888711394444444,96.40883333333333,0.0,0.016666666666666666,0.013513513513513514,0.11666666666666667,0.2,0.2,0.03333333333333333,0.2821317833333333,96.238,L,0.041935483870967745,0.06451612903225806,0.2064516129032258,0.5916473317865429,0.27741935483870966,0.06774193548387097,0.2942020479399817,100.59533333333336,14.333333333333334,R,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11197202004254438,793,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,571970,Max Muncy,confirmed,8.0,3.85,687562,0.04979253112033195,0.07883817427385892,0.06484641638225255,0.22821576763485477,0.23236514522821577,0.24896265560165975,0.1037344398340249,0.3223708594444445,95.937,0.06557377049180328,0.08196721311475409,0.06578947368421052,0.22950819672131148,0.19672131147540983,0.36065573770491804,0.11475409836065574,0.2891648733333333,94.44399999999999,L,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,1,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.11060753928805497,804,,,,,,,,0.5,,,PASS
823919,2026-08-02 23:20:00+00:00,BOS,LAD,LAD,BOS,1,669242,Tommy Edman,confirmed,3.0,4.55,687562,0.00819672131147541,0.040983606557377046,0.03125,0.14754098360655737,0.22131147540983606,0.19672131147540983,0.07377049180327869,0.3573411126436782,96.31862068965515,0.0,0.03333333333333333,0.028169014084507043,0.13333333333333333,0.15,0.21666666666666667,0.05,0.3426919977777778,94.92066666666668,R,0.01953125,0.04296875,0.15234375,0.45722713864306785,0.1796875,0.04296875,0.2722479808576623,100.21,17.90909090909091,L,0,0,0,0.03,0.06,0.0,0,UNIQLO Field at Dodger Stadium,1.0405083399523432,72.0,55.0,7.0,0.0,0.0,0.1072569989176232,832,,,,,,,,0.5,,,PASS
