game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,line,market_edge,ev_per_unit,signal
823413,2026-09-10 17:05:00+00:00,HOU,PHI,PHI,HOU,1,656941,Kyle Schwarber,confirmed,1.0,4.75,664299,0.051470588235294115,0.06985294117647059,0.060897435897435896,0.22426470588235295,0.1948529411764706,0.3014705882352941,0.14338235294117646,0.3361350130555556,98.31716666666665,0.07352941176470588,0.08823529411764706,0.06521739130434782,0.23529411764705882,0.22058823529411764,0.25,0.11764705882352941,0.3660724666666667,98.288,L,0.04790419161676647,0.0718562874251497,0.19760479041916168,0.6529680365296804,0.19760479041916168,0.11377245508982035,0.37117425926506076,101.65222222222222,12.11111111111111,R,0,0,0,0.03,0.06,0.0,0,Citizens Bank Park,87.7,55.0,10.3,0.0,0.0,1.0097986521685205,0.2118688990893389,372,,,,,,,,0.5,,,HR WATCH
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,621566,Matt Olson,confirmed,3.0,4.55,607259,0.05813953488372093,0.09689922480620156,0.07309941520467836,0.25193798449612403,0.29069767441860467,0.29457364341085274,0.09302325581395349,0.3246640355555555,98.3605,0.016129032258064516,0.04838709677419355,0.03571428571428571,0.2903225806451613,0.20967741935483872,0.24193548387096775,0.08064516129032258,0.2838226266666667,98.75733333333334,L,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,0,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.20456754180187203,389,,,,,,,,0.5,,,HR WATCH
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,660670,Ronald Acuña Jr.,confirmed,2.0,4.65,607259,0.05405405405405406,0.08108108108108109,0.06158357771260997,0.23552123552123552,0.2548262548262548,0.23938223938223938,0.10810810810810811,0.34650496277777776,97.61249999999998,0.045454545454545456,0.09090909090909091,0.06521739130434782,0.22727272727272727,0.2878787878787879,0.16666666666666666,0.10606060606060606,0.39454557333333334,101.39799999999998,R,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,1,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.1805988770216434,454,,,,,,,,0.5,,,HR WATCH
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,686948,Drake Baldwin,confirmed,1.0,4.75,607259,0.033962264150943396,0.07169811320754717,0.051351351351351354,0.23773584905660378,0.2792452830188679,0.18490566037735848,0.09433962264150944,0.35677304805555554,98.91466666666669,0.030303030303030304,0.07575757575757576,0.058823529411764705,0.21212121212121213,0.2878787878787879,0.2727272727272727,0.045454545454545456,0.32657388666666665,97.66933333333333,L,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,0,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.17609205347494278,468,,,,,,,,0.5,,,HR WATCH
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,663586,Austin Riley,confirmed,7.0,4.0,607259,0.034782608695652174,0.09130434782608696,0.06840390879478828,0.23043478260869565,0.25217391304347825,0.3565217391304348,0.06086956521739131,0.3050273719444444,97.05299999999998,0.018518518518518517,0.07407407407407407,0.05,0.18518518518518517,0.35185185185185186,0.3333333333333333,0.05555555555555555,0.27196238333333334,94.62666666666668,R,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,1,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.1589543488889022,529,,,,,,,,0.5,,,PASS
824872,2026-09-10 16:15:00+00:00,TB,ATL,TB,ATL,0,691406,Junior Caminero,confirmed,3.0,4.55,527048,0.053231939163498096,0.09125475285171103,0.0761904761904762,0.17870722433460076,0.16730038022813687,0.19391634980988592,0.09885931558935361,0.3411167366666667,100.53516666666668,0.058823529411764705,0.08823529411764706,0.06593406593406594,0.22058823529411764,0.22058823529411764,0.19117647058823528,0.08823529411764706,0.34739811333333337,102.22,R,0.022151898734177215,0.028481012658227847,0.1518987341772152,0.36944444444444446,0.16455696202531644,0.11392405063291139,0.33075747525677063,101.51533333333334,14.533333333333333,L,0,0,0,0.03,0.06,0.0,0,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.1535421859383561,551,,,,,,,,0.5,,,PASS
823413,2026-09-10 17:05:00+00:00,HOU,PHI,HOU,PHI,0,670541,Yordan Alvarez,confirmed,2.0,4.65,554430,0.04868913857677903,0.08239700374531835,0.0672782874617737,0.2397003745318352,0.2397003745318352,0.1760299625468165,0.15730337078651685,0.4006429916666667,100.38383333333333,0.029850746268656716,0.029850746268656716,0.02,0.22388059701492538,0.26865671641791045,0.208955223880597,0.11940298507462686,0.3463900466666666,99.04266666666668,L,0.038922155688622756,0.02694610778443114,0.1407185628742515,0.515,0.32934131736526945,0.09281437125748503,0.2542558373395131,99.11,15.6,R,0,0,0,0.03,0.06,0.0,0,Citizens Bank Park,87.7,55.0,10.3,0.0,0.0,1.0097986521685205,0.15018668438162242,566,,,,,,,,0.5,,,PASS
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,676551,Brewer Hicklen,confirmed,8.0,3.85,607259,0.0,0.04,0.038461538461538464,0.24,0.2,0.36,0.16,0.36208683333333336,99.11833333333334,0.0,0.04,0.038461538461538464,0.24,0.2,0.36,0.16,0.36208683333333336,99.11833333333334,R,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,1,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.14841129778178544,574,,,,,,,,0.5,,,PASS
823413,2026-09-10 17:05:00+00:00,HOU,PHI,PHI,HOU,1,607208,Trea Turner,confirmed,2.0,4.65,664299,0.04411764705882353,0.0625,0.04985337243401759,0.1875,0.23161764705882354,0.1948529411764706,0.0661764705882353,0.30755582000000004,96.54816666666666,0.029850746268656716,0.07462686567164178,0.0625,0.208955223880597,0.22388059701492538,0.19402985074626866,0.05970149253731343,0.2826152,94.79133333333334,R,0.04790419161676647,0.0718562874251497,0.19760479041916168,0.6529680365296804,0.19760479041916168,0.11377245508982035,0.37117425926506076,101.65222222222222,12.11111111111111,R,0,0,0,0.03,0.06,0.0,1,Citizens Bank Park,87.7,55.0,10.3,0.0,0.0,1.0097986521685205,0.1431560085209777,599,,,,,,,,0.5,,,PASS
824872,2026-09-10 16:15:00+00:00,TB,ATL,ATL,TB,1,671739,Michael Harris II,confirmed,4.0,4.45,607259,0.03937007874015748,0.047244094488188976,0.033707865168539325,0.20078740157480315,0.2440944881889764,0.1968503937007874,0.023622047244094488,0.2898239108333333,98.181,0.06666666666666667,0.05,0.04054054054054054,0.21666666666666667,0.2833333333333333,0.23333333333333334,0.05,0.2860451044444445,96.64533333333333,L,0.036931818181818184,0.056818181818181816,0.19602272727272727,0.568,0.15056818181818182,0.03125,0.3014067126723539,100.09933333333333,17.8,R,0,0,0,0.03,0.06,0.0,0,Truist Park,84.4,61.0,2.5,0.0,0.0,1.095193887024209,0.1427392563096719,601,,,,,,,,0.5,,,PASS
