game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,home_run_probability,fair_odds,point,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,line,market_edge,ev_per_unit,signal
823521,2026-07-19 23:20:00+00:00,LAD,NYY,LAD,NYY,0,660271,Shohei Ohtani,confirmed,1.0,4.75,642232,0.05818181818181818,0.09454545454545454,0.08637873754152824,0.24,0.2109090909090909,0.22181818181818183,0.14545454545454545,0.41128810277777766,99.94316666666667,0.07575757575757576,0.12121212121212122,0.11428571428571428,0.2727272727272727,0.21212121212121213,0.21212121212121213,0.09090909090909091,0.39456595666666666,100.042,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,,,,,,,,,,,0.187555416360853,433,,,,,,,,0.5,,,HR WATCH
823521,2026-07-19 23:20:00+00:00,LAD,NYY,NYY,LAD,1,663757,Trent Grisham,confirmed,1.0,4.75,694361,0.030534351145038167,0.07251908396946564,0.061488673139158574,0.21755725190839695,0.21374045801526717,0.16412213740458015,0.12595419847328243,0.33858890678571435,98.43599999999999,0.03076923076923077,0.046153846153846156,0.030927835051546393,0.2923076923076923,0.24615384615384617,0.16923076923076924,0.1076923076923077,0.3914808188888889,101.21066666666667,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.45,0.2857142857142857,0.07142857142857142,0.4442573541666667,102.38,4.5,R,0.17089342481952868,485,,,,,,,,0.5,,,HR WATCH
823521,2026-07-19 23:20:00+00:00,LAD,NYY,NYY,LAD,1,700250,Ben Rice,confirmed,2.0,4.65,694361,0.06766917293233082,0.09022556390977443,0.07164179104477612,0.20676691729323307,0.2781954887218045,0.22556390977443608,0.10150375939849623,0.3579957013888889,98.75033333333336,0.109375,0.140625,0.11538461538461539,0.203125,0.28125,0.21875,0.125,0.42602959,100.11733333333333,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.45,0.2857142857142857,0.07142857142857142,0.4442573541666667,102.38,4.5,R,0.16031598927164398,524,,,,,,,,0.5,,,HR WATCH
823521,2026-07-19 23:20:00+00:00,LAD,NYY,NYY,LAD,1,665862,Jazz Chisholm Jr.,confirmed,6.0,4.15,694361,0.0411522633744856,0.05761316872427984,0.050359712230215826,0.21810699588477367,0.16872427983539096,0.2962962962962963,0.09465020576131687,0.2877186616666666,97.04396551724139,0.018518518518518517,0.037037037037037035,0.031746031746031744,0.2962962962962963,0.07407407407407407,0.35185185185185186,0.07407407407407407,0.24919261111111116,97.52214285714287,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.45,0.2857142857142857,0.07142857142857142,0.4442573541666667,102.38,4.5,R,0.1372139208884108,629,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,NYY,LAD,1,502671,Paul Goldschmidt,confirmed,3.0,4.55,694361,0.060240963855421686,0.08433734939759036,0.0621301775147929,0.20080321285140562,0.28112449799196787,0.24899598393574296,0.0642570281124498,0.299582709770115,94.95551724137931,0.04838709677419355,0.06451612903225806,0.04878048780487805,0.12903225806451613,0.25806451612903225,0.4032258064516129,0.04838709677419355,0.18389874333333336,92.19200000000001,R,0,0,0,0.03,0.06,0.0,1,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.45,0.2857142857142857,0.07142857142857142,0.4442573541666667,102.38,4.5,R,0.1368447832926051,631,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,LAD,NYY,0,518692,Freddie Freeman,confirmed,3.0,4.55,642232,0.046511627906976744,0.06201550387596899,0.04050632911392405,0.23255813953488372,0.37209302325581395,0.1821705426356589,0.13178294573643412,0.3726875497222223,97.04966666666668,0.03225806451612903,0.04838709677419355,0.030927835051546393,0.25806451612903225,0.45161290322580644,0.16129032258064516,0.08064516129032258,0.3502751977777779,96.308,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,,,,,,,,,,,0.13215578967622657,657,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,LAD,NYY,0,681624,Andy Pages,confirmed,2.0,4.65,642232,0.04428044280442804,0.07011070110701106,0.05277777777777778,0.1918819188191882,0.3025830258302583,0.18450184501845018,0.09225092250922509,0.33247834916666663,96.70333333333333,0.029411764705882353,0.058823529411764705,0.047619047619047616,0.16176470588235295,0.27941176470588236,0.19117647058823528,0.14705882352941177,0.3550016811111111,95.24733333333333,R,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,,,,,,,,,,,0.1321462710622307,657,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,LAD,NYY,0,606192,Teoscar Hernández,confirmed,7.0,4.0,642232,0.03292181069958848,0.06584362139917696,0.05653710247349823,0.19753086419753085,0.20987654320987653,0.27983539094650206,0.09465020576131687,0.32456320277777784,96.2735,0.017543859649122806,0.03508771929824561,0.03225806451612903,0.21052631578947367,0.14035087719298245,0.3157894736842105,0.07017543859649122,0.28248193111111114,98.618,R,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,,,,,,,,,,,0.12267276652370676,715,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,LAD,NYY,0,605141,Mookie Betts,confirmed,4.0,4.45,642232,0.04263565891472868,0.06589147286821706,0.04985337243401759,0.21705426356589147,0.2713178294573643,0.10852713178294573,0.07751937984496124,0.3316812108333334,96.93406779661017,0.031746031746031744,0.06349206349206349,0.04597701149425287,0.20634920634920634,0.30158730158730157,0.031746031746031744,0.07936507936507936,0.3112787944444445,98.09466666666665,R,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,,,,,,,,,,,0.12159060071354225,722,,,,,,,,0.5,,,PASS
823521,2026-07-19 23:20:00+00:00,LAD,NYY,NYY,LAD,1,669224,Austin Wells,confirmed,8.0,3.85,694361,0.02857142857142857,0.04285714285714286,0.034220532319391636,0.23333333333333334,0.2904761904761905,0.2904761904761905,0.10476190476190476,0.2616534263888889,95.187,0.043478260869565216,0.043478260869565216,0.037037037037037035,0.2608695652173913,0.32608695652173914,0.32608695652173914,0.021739130434782608,0.2198268488888889,94.25800000000001,L,0,0,0,0.03,0.06,0.0,0,Yankee Stadium,80.2,33.0,8.1,0.0,0.0,1.1742343114157208,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.45,0.2857142857142857,0.07142857142857142,0.4442573541666667,102.38,4.5,R,0.11048852695062328,805,,,,,,,,0.5,,,PASS
